GA,AIS,mean AIS,1765.566667
1767,1765,mean GA,1767.591667
1768,1766,TTEST,5.51E-35
1767.5,1765.5,,
1767.5,1765.5,,
1768,1765.5,,
1769,1766,,
1767.5,1766,,
1767.5,1766,,
1767,1765.5,,
1767,1765.5,,
1767.5,1765.5,,
1768,1765,,
1766.5,1765.5,,
1767,1765.5,,
1768.5,1765.5,,
1767.5,1766,,
1768,1765.5,,
1767.5,1765.5,,
1767.5,1766,,
1766.5,1765.5,,
1767,1765.5,,
1768.5,1765,,
1766.5,1766,,
1767.5,1765.5,,
1768.5,1765.5,,
1768.5,1765.5,,
1768,1765.5,,
1767,1766,,
1767,1765,,
1768,1765.5,,
1767.5,1766,,
1767.5,1765.5,,
1766.5,1765,,
1766.5,1766,,
1768,1766,,
1768,1765.5,,
1768,1765,,
1767.5,1765.5,,
1767,1765.5,,
1766.5,1766,,
1767.5,1765.5,,
1768.5,1765.5,,
1768,1765.5,,
1767,1766,,
1768.5,1765.5,,
1768.5,1765.5,,
1768.5,1766,,
1768,1765.5,,
1769,1765,,
1766.5,1765.5,,
1767,1765.5,,
1768,1765.5,,
1767.5,1765.5,,
1767.5,1765.5,,
1768,1765.5,,
1767,1765.5,,
1768.5,1765.5,,
1767.5,1765.5,,
1768,1766,,
1766.5,1765.5,,
